"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"4481","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9922","DEFERRED ACTION FOR CHILDHOOD ARRIVALS","0","41600","0","20800","0","0","0"
"4482","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","TERMINAL LEAVE","2006","Support Staff","40796","40796","0","0","0","0","0"
"4483","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TRAINING CITY EMPLOYEES","3101","YOUTH SERVICES","5800","39080","0","39080","0","0","0"
"4484","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","POSTAGE","3612","ADMIN OTPS","20000","38584","0","38108.59","0","0","0"
"4485","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3705","WIA AOTPS","38017","38017","0","0","0","0","0"
"4486","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","MAINT & REP OF MOTOR VEH EQUIP","3101","YOUTH SERVICES","24970","37507","0","32507.1","0","0","0"
"4487","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3698","CEO -  Service  Learning Initiatives","0","37445","0","7000","0","0","0"
"4488","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","BOOKS-OTHER","3612","ADMIN OTPS","10300","37374","0","37266.37","0","0","0"
"4489","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3700","WIA SYEP","0","36357","0","35134.14","0","0","0"
"4490","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","ALLOWANCES TO PARTICIPANTS","9805","COMMUNITY ACTION","0","35725","0","32175.75","0","0","0"
"4491","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3612","ADMIN OTPS","34000","35365","0","33090.11","0","0","0"
"4492","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3692","CEO - Young Men's Initiative - OST","0","33020","0","30520","0","0","0"
"4493","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3612","ADMIN OTPS","41500","31897","0","28311.04","0","3345","0"
"4494","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3705","WIA AOTPS","30000","30000","0","0","0","0","0"
"4495","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","POSTAGE","3705","WIA AOTPS","30000","30000","0","0","0","0","0"
"4496","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PURCH DATA PROCESSING EQUIPT","3705","WIA AOTPS","30000","30000","0","0","0","0","0"
"4497","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TEMPORARY SERVICES","3612","ADMIN OTPS","10000","29441","0","27740.4","0","0","0"
"4498","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","4198","AOTPS","0","27632","0","26981.44","0","14012.41","0"
"4499","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","9704","COMMUNITY ACTION PROGRAM AOTPS","26250","26250","0","14868.57","0","0","0"
"4500","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","POSTAGE","4198","AOTPS","15000","25000","0","25000","0","0","0"
"4501","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3101","YOUTH SERVICES","24998","24998","0","21628.85","0","0","0"
"4502","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3612","ADMIN OTPS","406496","24991","0","24832.38","0","0","0"
"4503","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","9805","COMMUNITY ACTION","300000","22554","0","17654","0","0","0"
"4504","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3612","ADMIN OTPS","20934","20934","0","20934","0","0","0"
"4505","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV LEGAL SERVICES","3702","WIA - Out-of-School Youth","0","20000","0","20000","0","0","0"
"4506","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","DATA PROCESSING SUPPLIES","3705","WIA AOTPS","20000","20000","0","0","0","0","0"
"4507","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3705","WIA AOTPS","20000","20000","0","0","0","0","0"
"4508","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-WAGES","3719","SYEP - Safe Harbor Funds","0","19563","0","19535.21","0","0","0"
"4509","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PRINTING CONTRACTS","3550","OST - OPTION 1","0","19238","0","6692.24","0","0","0"
"4510","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3702","WIA - Out-of-School Youth","0","18693","0","18693","0","0","0"
"4511","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3711","Summer Youth Employment Program","15624","15665","0","6859.98","0","0","0"
"4512","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","UNSALARIED","2006","Support Staff","15024","15024","0","112586.42","0","0","0"
"4513","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3692","CEO - Young Men's Initiative - OST","55028","14754","0","5250","0","0","0"
"4514","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3710","Summer Youth Employment Program","0","14720","0","12750","0","0","0"
"4515","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","TELEPHONE & OTHER COMMUNICATNS","9704","COMMUNITY ACTION PROGRAM AOTPS","14251","14251","0","14251","0","0","0"
"4516","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3719","SYEP - Safe Harbor Funds","0","14000","0","13999.51","0","0","0"
"4517","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3716","SYEP - Private Grants","0","14000","0","13828.97","0","0","0"
"4518","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","MOTOR VEHICLE FUEL","3101","YOUTH SERVICES","3500","13700","0","7996.69","0","0","0"
"4519","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","OVERTIME","6006","Legal/General Counsel","13696","13696","0","2483.98","0","0","0"
"4520","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","ASSIGNMENT DIFFERENTIAL","2006","Support Staff","13284","13284","0","12541.63","0","0","0"
"4521","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PROF SERV COMPUTER SERVICES","3612","ADMIN OTPS","0","11000","0","5064.7","0","0","0"
"4522","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EQUIPMENT GENERAL","3612","ADMIN OTPS","2000","10708","0","10403.16","0","0","0"
"4523","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING SUPPLIES","4198","AOTPS","2000","10066","0","6523.02","0","2700","0"
"4524","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","4198","AOTPS","10000","9654","0","9267.55","0","0","0"
"4525","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CLEANING SERVICES","3612","ADMIN OTPS","3000","9580","0","9580","0","0","0"
"4526","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TRANSPORTATION EXPENDITURES","3705","WIA AOTPS","9000","9000","0","0","0","0","0"
"4527","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","LONGEVITY DIFFERENTIAL","6006","Legal/General Counsel","8929","8929","0","11832.77","0","0","0"
"4528","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","JTPA-FRINGES","3718","SYEP Ladders for Leaders","0","8409","0","8408.62","0","0","0"
"4529","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3620","Summer of Service","0","8000","0","0","0","0","0"
"4530","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","DATA PROCESSING EQUIPMENT","3612","ADMIN OTPS","10000","6974","0","5655.5","0","0","0"
"4531","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","AUTOMOTIVE SUPPLIES & MATERIAL","3101","YOUTH SERVICES","6500","6500","0","0","0","0","0"
"4532","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3550","OST - OPTION 1","0","6250","0","3938.75","0","0","0"
"4533","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3698","CEO -  Service  Learning Initiatives","0","6108","0","6107.9","0","0","0"
"4534","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","PAYMENTS TO DELEGATE AGENCIES","3705","WIA AOTPS","6000","6000","0","0","0","0","0"
"4535","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","BOOKS-OTHER","3705","WIA AOTPS","6000","6000","0","1000","0","0","0"
"4536","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-SPECIAL","3698","CEO -  Service  Learning Initiatives","0","5850","0","5849.2","0","0","0"
"4537","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","4001","In School Youth","5590","5590","0","11493.56","0","0","0"
"4538","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","PART-TIME POSITIONS","5001","Out of School Youth/CUV","5357","5357","0","0","0","0","0"
"4539","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","OVERTIME","3006","Program Operations","5342","5342","0","0","0","0","0"
"4540","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-SPECIAL","3692","CEO - Young Men's Initiative - OST","0","5050","0","5050","0","0","0"
"4541","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","ADVERTISING","9855","ADULT ED","5000","5000","0","0","0","0","0"
"4542","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","MAINT & REP OF MOTOR VEH EQUIP","9704","COMMUNITY ACTION PROGRAM AOTPS","5000","5000","0","5000","0","0","0"
"4543","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","BOOKS-OTHER","9855","ADULT ED","5000","5000","0","0","0","0","0"
"4544","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","4198","AOTPS","5000","5000","0","5000","0","0","0"
"4545","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","ADVERTISING","3705","WIA AOTPS","5000","5000","0","0","0","0","0"
"4546","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","NON OVERNIGHT TRVL EXP-GENERAL","3705","WIA AOTPS","5000","5000","0","0","0","0","0"
"4547","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TELEPHONE & OTHER COMMUNICATNS","3705","WIA AOTPS","5000","5000","0","0","0","0","0"
"4548","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","OFFICE SERVICES","4198","AOTPS","28999","4979","0","3759.04","0","0","0"
"4549","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","OVERTIME","4006","Out of School Time","4918","4918","0","6525.31","0","0","0"
"4550","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES-GENERAL","3553","OST - Technical  Assistance","0","4854","0","4854","0","0","0"
"4551","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","OFFICE FURITURE","3612","ADMIN OTPS","1000","4666","0","4638.56","0","0","0"
"4552","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","3006","Program Operations","4628","4628","0","7361.35","0","0","0"
"4553","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","OVERTIME","4003","Discretionary","4108","4108","0","886.93","0","0","0"
"4554","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","DATA PROCESSING SERVICES","3612","ADMIN OTPS","4000","4000","0","4000","0","0","0"
"4555","Department of Youth and Community Development","2014","EXECUTIVE AND ADMINISTRATIVE MGMT PS","ASSIGNMENT DIFFERENTIAL","6006","Legal/General Counsel","3540","3540","0","4231.47","0","0","0"
"4556","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","OFFICE SERVICES","3705","WIA AOTPS","2000","3500","0","3000","0","0","0"
"4557","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3550","OST - OPTION 1","0","3220","0","2250","0","0","0"
"4558","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","4106","Beacon","3199","3199","0","3404.94","0","0","0"
"4559","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","OVERTIME","4106","Beacon","3021","3021","0","8782.14","0","0","0"
"4560","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","OFFICE FURITURE","3705","WIA AOTPS","3000","3000","0","0","0","0","0"
"4561","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TRANSPORTATION EXPENDITURES","3612","ADMIN OTPS","5000","3000","0","2155.43","0","0","0"
"4562","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","4199","AOTPS-IC","3000","3000","0","0","0","0","0"
"4563","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","ADVERTISING","4198","AOTPS","0","3000","0","0","0","0","0"
"4564","Department of Youth and Community Development","2014","OTHER THAN PERSONAL SERVICES","TEMPORARY SERVICES","3705","WIA AOTPS","3000","3000","0","0","0","0","0"
"4565","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","OVERTIME","5201","Community Development Operations","2904","2904","0","0","0","0","0"
"4566","Department of Youth and Community Development","2014","PROGRAM SERVICES - PS","LONGEVITY DIFFERENTIAL","5101","Office of Immigrant Affairs","2894","2894","0","2399.61","0","0","0"
"4567","Department of Youth and Community Development","2014","COMMUNITY DEVELOPMENT OTPS","EQUIPMENT GENERAL","4198","AOTPS","0","2731","0","2285.93","0","0","0"
