"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1779","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-1700.33","Collected Unearned Revenue Roll"
"1780","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2013","2014","571614","597633","-1800.81","Billed Revenue"
"1781","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2013","2014","571614","597633","-1800.82","Billed Revenue"
"1782","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","10669854","-1800.98","Billed Revenue"
"1783","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","10669854","-1849.92","Billed Revenue"
"1784","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-1928.37","Billed Revenue"
"1785","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-2170.98","Billed Revenue"
"1786","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-2195.7","Billed Revenue"
"1787","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-2656.48","Billed Revenue"
"1788","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-3133.62","Billed Revenue"
"1789","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2014","0","45425","-3675","Unbilled Revenue"
"1790","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-3826.5","Billed Revenue"
"1791","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-3894.53","Billed Revenue"
"1792","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-4030.89","Billed Revenue"
"1793","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","2880847","2880847","-4140.11","Billed Revenue"
"1794","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-4162.42","Billed Revenue"
"1795","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-4222.16","Billed Revenue"
"1796","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-4349.93","Collected Unearned Revenue Roll"
"1797","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-4754.69","Billed Revenue"
"1798","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-4850.61","Billed Revenue"
"1799","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-4952.45","Billed Revenue"
"1800","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2014","2880847","2880847","-5000","Unbilled Revenue"
"1801","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-5168.79","Billed Revenue"
"1802","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2014","0","45425","-5500","Unbilled Revenue"
"1803","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-6607.4","Billed Revenue"
"1804","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-7789.18","Billed Revenue"
"1805","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","9655657","-8065.74","Billed Revenue"
"1806","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","FEMA Sandy E Buildings and Equipment","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2021","0","0","-8722","Unbilled Revenue"
"1807","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy E Buildings and Equipment","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2014","0","0","-8722","Accounts Left In Old Year"
"1808","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2014","0","45425","-8722","Unbilled Revenue"
"1809","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2014","10669854","9655657","-9014.37","Unbilled Revenue"
"1810","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-9056.08","Billed Revenue"
"1811","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","EMERGENCY SHELTER GRANTS PROGRAM","General Fund","FEDERAL - OTHER","HOUSING AND URBAN DEVELOPMENT","2013","2020","0","98217","-9254.79","Unbilled Revenue"
"1812","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-9279.75","Billed Revenue"
"1813","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-9649","Collected Revenue"
"1814","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-9649","Billed Revenue"
"1815","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-11185.93","Billed Revenue"
"1816","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-12138.07","Billed Revenue"
"1817","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-12384.89","Billed Revenue"
"1818","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-15650.86","Billed Revenue"
"1819","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-15961.34","Billed Revenue"
"1820","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-16263.41","Billed Revenue"
"1821","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-17458.59","Billed Revenue"
"1822","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-17788.96","Billed Revenue"
"1823","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-19992.94","Billed Revenue"
"1824","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-20363.89","Billed Revenue"
"1825","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-20748.12","Billed Revenue"
"1826","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-21641.62","Billed Revenue"
"1827","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-21752.79","Billed Revenue"
"1828","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-22882.99","Billed Revenue"
"1829","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-23026.37","Billed Revenue"
"1830","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","10669854","10669854","-23280.46","Billed Revenue"
"1831","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-24404.13","Billed Revenue"
"1832","Department of Youth and Community Development","Federal Grants-Categorical","WIA National Emergency","General Fund","FEDERAL - OTHER","LABOR","2013","2013","0","365275","-24795.56","Billed Revenue"
"1833","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-24879.84","Collected Unearned Revenue Roll"
"1834","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2014","3930745","4082409","-25154.25","Billed Revenue"
"1835","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-26945.95","Billed Revenue"
"1836","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2013","2013","","","-27525.66","Billed Revenue"
"1837","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2013","2014","2880847","2880847","-29326.5","Billed Revenue"
"1838","Department of Youth and Community Development","State Grants-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2013","2013","","","-30929.82","Billed Revenue"
"1839","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-31292","Billed Revenue"
"1840","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-31491.15","Billed Revenue"
"1841","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-33841.74","Billed Revenue"
"1842","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-35135.39","Billed Revenue"
"1843","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-35306.38","Billed Revenue"
"1844","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-40006.83","Billed Revenue"
"1845","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2013","2014","571614","597633","-40988.85","Billed Revenue"
"1846","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-49969.95","Billed Revenue"
"1847","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-50474.8","Billed Revenue"
"1848","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2013","2013","","","-53461.68","Billed Revenue"
